Abbott's Village Bakery Toasted Soy Chickpea & Quinoa 750g,9(16slices+2crusts),Servingsize:84g(2slices),Energy,932kJ,1110kJ,Protein,9.6g,11.4g,"Fat, total",3.8g,4.5g,– saturated,0.5g,0.6g,Carbohydrate,35.8g,42.6g,– sugars,3.1g,3.7g,Sodium,336mg,400mg
Helga's Bread Traditional White 750g,9(16Slices+2Crusts),Servingsize:83g(2Slices),Energy,840kJ,1010kJ,Protein,6.8g,8.2g,"Fat, total",2.0g,2.4g,– saturated,<1.0g,<1.0g,Carbohydrate,35.8g,43.1g,– sugars,2.5g,3.0g,Sodium,330mg,400mg
Helga's Bread Traditional Wholemeal 750g,9(16slicesand2crusts),Servingsize:83,Energy,820kJ,1000kJ,Protein,7.5g,9.0g,"Fat, total",2.1g,2.5g,– saturated,<1.0g,<1.0g,Carbohydrate,34.3g,41.5g,– sugars,2.5g,3.0g,Sodium,335mg,400mg
Woolworths Country Loaf Wholemeal 750g,9,Servingsize:100g,Energy,Approx. 785kJ,Approx. 934kJ,Protein,Approx. 7.1g,Approx. 8.5g,"Fat, total",Approx. 1.8g,Approx. 2.2g,– saturated,<1g,<1g,Carbohydrate,Approx. 32.8g,Approx. 39g,– sugars,Approx. 1.8g,Approx. 2.2g,Sodium,Approx. 336mg,Approx. 400mg
Woolworths Country Loaf White 750g,9,Servingsize:100g,Energy,Approx. 851kJ,Approx. 1010kJ,Protein,Approx. 6.7g,Approx. 8g,"Fat, total",Approx. 2.3g,Approx. 2.7g,– saturated,<1g,<1g,Carbohydrate,Approx. 37.1g,Approx. 44.2g,– sugars,Approx. 2.4g,Approx. 2.8g,Sodium,Approx. 336mg,Approx. 400mg
Lawson Wholemeal Traditional Bread 750g,7(12Slicesand2Crusts),Servingsize:107g(2Slices),Energy,995kJ,930kJ,Protein,9.6g,9.0g,"Fat, total",3.3g,3.1g,– saturated,<1.0g,<1.0g,Carbohydrate,36.9g,34.5g,– sugars,2.6g,2.4g,Sodium,430mg,400mg
Lawson Settlers Grain Traditional Bread 750g,7(12Slicesand2Crusts),Servingsize:107g(2Slices),Energy,1090kJ,1020kJ,Protein,11.4g,10.7g,"Fat, total",2.7g,2.5g,– saturated,<1.0g,<1.0g,Carbohydrate,45.4g,42.4g,– sugars,2.9g,2.7g,Sodium,430mg,400mg
Lawson White Traditional Bread 750g,7(12Slicesand2Crusts),Servingsize:107g(2Slices),Energy,1100kJ,1030kJ,Protein,8.2g,7.7g,"Fat, total",2.4g,2.2g,– saturated,<1.0g,<1.0g,Carbohydrate,49.8g,46.5g,– sugars,3.3g,3.1g,Sodium,430mg,400mg
Abbott's Village Bakery Farmhouse Wholemeal Bread 750g,9(16slices+2crusts),Servingsize:84g(2slices),Energy,848kJ,987kJ,Protein,7.3g,8.7g,"Fat, total",2.4g,2.9g,– saturated,1.0g,0.5g,Carbohydrate,33.6g,40.0g,– sugars,3.0g,3.6g,Sodium,292mg,348mg
Helga's Pumpkin Seed And Grain 720g,9(16slicesand2crusts),Servingsize:80g,Energy,890kJ,1110kJ,Protein,8.3g,10.4g,"Fat, total",4.4g,5.5g,– saturated,<1.0g,",1.0g",Carbohydrate,32.9g,41.1g,– sugars,2.2g,3.3g,Sodium,320mg,400mg
